formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
BiSeBr,0.714,4.082,4.082,0.406,0.000,0.733,2.010,1.363,1.763,0.992,13.232,3.461,15.194,3,3,0.030,0.000,-0.583,No,p3m1
BiSeBr,0.850,3.842,3.842,0.431,0.000,1.020,2.351,1.742,2.435,0.653,7.612,3.714,14.396,3,3,0.057,0.111,-0.471,No,p3m1
BiTeBr,0.491,4.855,4.855,0.427,0.000,0.591,1.690,1.159,1.408,0.690,12.035,3.565,16.337,3,3,0.070,0.000,-0.504,No,p3m1
BiTeBr,0.457,4.681,4.681,0.457,0.000,0.529,1.632,1.162,1.342,0.274,8.518,3.854,15.436,3,3,0.103,0.117,-0.387,No,p3m1
Pb2S2,0.571,6.010,6.009,0.404,0.000,1.162,2.225,1.806,0.143,0.240,413.648,2.821,17.994,4,2,0.000,0.054,-0.514,No,p4/nmm
BiSCl,0.918,3.008,3.008,0.386,0.000,1.430,2.980,2.271,4.075,1.018,7.915,3.456,13.490,3,3,0.052,0.130,-0.538,No,p3m1
Pb2S2,0.637,4.059,4.057,0.256,0.000,0.170,,0.673,0.401,0.326,,1.975,29.257,4,2,-0.000,0.325,-0.243,No,p4/nmm
Pb2S2,0.233,5.014,5.014,0.212,0.771,0.422,,0.093,1.252,0.153,,0.000,33.155,4,2,0.000,0.408,-0.160,No,p4/mmm
BiTeCl,0.464,4.416,4.416,0.397,0.000,0.599,1.736,1.198,1.391,0.378,12.588,3.377,16.040,3,3,0.087,0.010,-0.598,No,p3m1
BiTeCl,0.464,4.314,4.314,0.428,0.000,0.531,1.676,1.151,1.612,0.224,10.657,3.690,15.141,3,3,0.129,0.139,-0.468,No,p3m1
Pb2Se2,0.541,8.548,8.543,0.420,0.000,0.789,1.623,1.312,0.100,0.112,227.483,2.856,19.401,4,2,0.000,0.072,-0.510,No,p4/nmm
BiSeCl,0.731,3.627,3.627,0.377,0.000,0.851,2.202,1.509,1.136,1.190,11.332,3.286,14.887,3,3,0.050,0.000,-0.681,No,p3m1
